Branch,Category,Round,Domicile,MinP,MaxP,MeanP,StdP,TotalSeats,BranchSeats,TotalCandidates,Trend
AI,EWS,INTERNAL,Y,0.8543932186430372,0.8966038303765906,0.8719171561287306,0.01774902813162266,82.25,3.5,1460104.75,0.003166478751313002
AI,EWS,R1,Y,0.8965584098195177,0.9028351152913908,0.8996967625554543,0.00443830100267217,115.5,11.0,1445106.5,-0.006276705471872937
AI,EWS,R1_Upgrade,Y,0.8665096606813218,0.884542544395842,0.8755261025385819,0.012751174358885627,94.0,9.0,1445106.5,-0.0180328837145201
AI,EWS,R2,Y,0.8852492032421508,0.8852492032421508,0.8852492032421508,0.0,25.0,1.0,1415110.0,0.0
AI,EWS/S/M,R2,Y,0.8998036069345666,0.8998036069345666,0.8998036069345666,0.0,58.0,1.0,1475103.0,0.0
AI,EWS/X/F,R2,Y,0.8997778460215998,0.8997778460215998,0.8997778460215998,0.0,58.0,1.0,1475103.0,0.0
AI,EWS/X/M,R2,Y,0.8988199468104939,0.8988199468104939,0.8988199468104939,0.0,58.0,3.0,1475103.0,0.0
AI,FW/OP,R1,Y,0.9050927291178988,0.9050927291178988,0.9050927291178988,0.0,156.0,6.0,1475103.0,0.0
AI,FW/OP,R1_Upgrade,Y,0.8992843211626578,0.8992843211626578,0.8992843211626578,0.0,126.0,4.0,1475103.0,0.0
AI,FW/OP,R2,Y,0.9051306925685867,0.9051306925685867,0.9051306925685867,0.0,58.0,3.0,1475103.0,0.0
AI,JKR,R2,N,0.7547513631251512,0.7547513631251512,0.7547513631251512,0.0,58.0,1.0,1475103.0,0.0
AI,OBC/S/F,R1,Y,0.45973952554925057,0.45973952554925057,0.45973952554925057,0.0,75.0,1.0,1415110.0,0.0
AI,OBC/S/OP,INTERNAL,Y,0.40393111531872694,0.40393111531872694,0.40393111531872694,0.0,98.0,1.0,1475103.0,0.0
AI,OBC/S/OP,R1,Y,0.834216322521207,0.834216322521207,0.834216322521207,0.0,156.0,1.0,1475103.0,0.0
AI,OBC/S/OP,R1_Upgrade,Y,0.7247060035807669,0.7247060035807669,0.7247060035807669,0.0,126.0,1.0,1475103.0,0.0
