Year,Round,Institute,Branch,Category,Domicile,OpeningRank,ClosingRank,BranchSeats,TotalSeats,TotalCandidates
2014,R1,MITS,BT,UR/X/OP,Y,78121,80003,2,30,1356000
2014,R1,MITS,BT,OBC/X/OP,Y,122826,133005,3,30,1356000
2014,R1,MITS,BT,UR/X/OP,Y,99915,137259,8,30,1356000
2014,R1,MITS,BT,UR/X/F,Y,113348,179038,4,30,1356000
2014,R1,MITS,BT,UR/NCC/OP,Y,190302,190302,1,30,1356000
2014,R1,MITS,BT,OBC/X/F,Y,319091,319091,1,30,1356000
2014,R1,MITS,BT,SC/X/F,Y,321426,321426,1,30,1356000
2014,R1,MITS,BT,UR/S/OP,Y,545870,545870,1,30,1356000
2014,R1,MITS,BT,SC/X/OP,Y,502295,619673,9,30,1356000
2014,R1,MITS,CE,UR/X/OP,Y,31803,54471,6,120,1356000
2014,R1,MITS,CE,OBC/X/OP,Y,35959,71170,8,120,1356000
2014,R1,MITS,CE,UR/X/OP,Y,27894,76290,37,120,1356000
2014,R1,MITS,CE,UR/X/F,Y,34165,138603,15,120,1356000
2014,R1,MITS,CE,UR/S/OP,Y,123137,156510,2,120,1356000
2014,R1,MITS,CE,OBC/S/OP,Y,178943,178943,1,120,1356000
2014,R1,MITS,CE,OBC/X/F,Y,114214,198092,5,120,1356000
2014,R1,MITS,CE,SC/X/OP,Y,197986,270514,12,120,1356000
2014,R1,MITS,CE,UR/FF/OP,Y,287390,287390,1,120,1356000
2014,R1,MITS,CE,UR/NCC/OP,Y,312530,312530,1,120,1356000
2014,R1,MITS,CE,SC/X/F,Y,356849,422681,5,120,1356000
2014,R1,MITS,CE,ST/X/OP,Y,315520,500886,16,120,1356000
2014,R1,MITS,CE,OBC/NCC/OP,Y,511693,511693,1,120,1356000
2014,R1,MITS,CE,UR/S/F,Y,621822,621822,1,120,1356000
2014,R1,MITS,CE,ST/X/F,Y,509712,704740,7,120,1356000
2014,R1,MITS,CE,OBC/H/OP,Y,711813,711813,1,120,1356000
2014,R1,MITS,CE,SC/NCC/OP,Y,941787,941787,1,120,1356000
2014,R1,MITS,CHEM,UR/X/OP,Y,65931,74446,3,60,1356000
2014,R1,MITS,CHEM,UR/X/OP,Y,81367,116295,20,60,1356000
2014,R1,MITS,CHEM,UR/X/F,Y,36122,117748,7,60,1356000
2014,R1,MITS,CHEM,OBC/X/OP,Y,85279,122396,6,60,1356000
2014,R1,MITS,CHEM,UR/S/OP,Y,211870,211870,1,60,1356000
2014,R1,MITS,CHEM,OBC/X/F,Y,202998,213433,2,60,1356000
2014,R1,MITS,CHEM,SC/X/OP,Y,245173,566923,16,60,1356000
2014,R1,MITS,CHEM,SC/X/F,Y,497708,606614,3,60,1356000
2014,R1,MITS,CHEM,ST/X/OP,Y,518267,988596,2,60,1356000
2014,R1,MITS,CSE,UR/X/OP,Y,37729,52388,6,120,1356000
2014,R1,MITS,CSE,UR/X/F,Y,37337,61400,15,120,1356000
2014,R1,MITS,CSE,UR/X/OP,Y,19985,63167,35,120,1356000
2014,R1,MITS,CSE,OBC/X/OP,Y,16296,65917,10,120,1356000
2014,R1,MITS,CSE,UR/S/OP,Y,74464,74464,1,120,1356000
2014,R1,MITS,CSE,OBC/X/F,Y,72483,96038,4,120,1356000
2014,R1,MITS,CSE,OBC/S/F,Y,123208,123208,1,120,1356000
2014,R1,MITS,CSE,UR/FF/F,Y,173046,173046,1,120,1356000
2014,R1,MITS,CSE,UR/S/F,Y,174756,174756,1,120,1356000
2014,R1,MITS,CSE,UR/FF/OP,Y,270445,270445,1,120,1356000
2014,R1,MITS,CSE,SC/X/F,Y,220025,373212,4,120,1356000
2014,R1,MITS,CSE,SC/X/OP,Y,187288,399539,19,120,1356000
2014,R1,MITS,CSE,UR/NCC/OP,Y,433732,433732,1,120,1356000
2014,R1,MITS,CSE,OBC/H/OP,Y,782961,782961,1,120,1356000
2014,R1,MITS,CSE,ST/X/F,Y,409625,998608,5,120,1356000
2014,R1,MITS,CSE,UR/H/OP,Y,936724,1038365,2,120,1356000
2014,R1,MITS,CSE,ST/X/OP,Y,582797,1196909,13,120,1356000
,,,,,,,,,,
2014,R1,MITS,ECE,UR/X/OP,Y,53198,61688,6,120,1356000
2014,R1,MITS,ECE,OBC/X/OP,Y,66591,81156,9,120,1356000
2014,R1,MITS,ECE,UR/X/F,Y,57599,83002,15,120,1356000
2014,R1,MITS,ECE,UR/X/OP,Y,49726,84412,37,120,1356000
2014,R1,MITS,ECE,OBC/S/OP,Y,142309,142309,1,120,1356000
2014,R1,MITS,ECE,OBC/X/F,Y,94976,163831,5,120,1356000
2014,R1,MITS,ECE,UR/S/OP,Y,199956,206793,2,120,1356000
2014,R1,MITS,ECE,UR/S/F,Y,235242,235242,1,120,1356000
2014,R1,MITS,ECE,SC/X/F,Y,65302,337587,4,120,1356000
2014,R1,MITS,ECE,SC/X/OP,Y,238026,383217,21,120,1356000
2014,R1,MITS,ECE,UR/FF/OP,Y,392670,392670,1,120,1356000
2014,R1,MITS,ECE,UR/NCC/OP,Y,498783,498783,1,120,1356000
2014,R1,MITS,ECE,OBC/NCC/OP,Y,615740,615740,1,120,1356000
2014,R1,MITS,ECE,ST/X/OP,Y,523448,1247139,16,120,1356000
2014,,,,,,,,,,
2014,R1,MITS,EE,UR/X/OP,Y,50566,57978,6,120,1356000
2014,R1,MITS,EE,UR/X/OP,Y,37107,80668,36,120,1356000
2014,R1,MITS,EE,OBC/X/OP,Y,60277,81329,9,120,1356000
2014,R1,MITS,EE,UR/X/F,Y,41419,98999,16,120,1356000
2014,R1,MITS,EE,OBC/X/F,Y,112088,179506,4,120,1356000
2014,R1,MITS,EE,UR/S/OP,Y,168842,180670,2,120,1356000
2014,R1,MITS,EE,UR/S/F,Y,247113,247113,1,120,1356000
2014,R1,MITS,EE,SC/X/OP,Y,116057,317396,14,120,1356000
2014,R1,MITS,EE,OBC/S/F,Y,319782,319782,1,120,1356000
